WHO Region,Country Code,WHO Country Name,Location,Year,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3),Reference
European Region,DEU,Germany,Karlsruhe,2014,12.88,18.18,34.62,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Kassel,2014,13.98,23.66,34.03,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Kehl,2014,12.6,18.9,25.91,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Kiel,2014,16.57,22.31,39.12,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Koblenz,2014,13.33,19.82,41.39,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Koln,2014,16.61,22.1,41.44,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Krefeld,2014,12.42,18.92,38.17,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Leipzig,2014,16.35,25.79,31.3,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Lingen (Ems),2014,14.94,17.69,16.73,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Lubeck,2014,13.75,20.96,22.51,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Luchow,2014,12.65,17.95,11.86,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Luder,2014,12.62,16.22,6.89,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Ludwigshafen Am Rhein,2014,14.78,21.64,35.46,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Magdeburg,2014,17.2,26.22,33.02,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Mainz,2014,13.28,20.13,41.03,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Mannheim,2014,14.36,20.55,37.65,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Marburg,2014,15.41,20.57,33.78,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Merzalben,2014,8.17,10.99,5.74,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Monchengladbach,2014,15.17,20.41,29.35,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Munchen,2014,13.58,20.82,44.8,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Munstertal/Schwarzwald,2014,5.76,8.95,4.19,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Nauen,2014,15.47,19.87,13.83,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Neuwied,2014,11.47,19.23,25.54,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Nurnberg,2014,13.57,26.51,37.29,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Oberaudorf,2014,12.91,21.83,41.35,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Oberried,2014,7.09,8.17,2.73,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Osnabruck,2014,15.14,23.56,34.28,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Passau,2014,12.58,20.52,29.4,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Pfinztal,2014,14.34,20.09,42.5,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Pforzheim,2014,11.33,15.72,33.19,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Potsdam,2014,17.93,23.84,27.8,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Ratzeburg,2014,14.77,22.81,37.68,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Reutlingen,2014,16.56,21.29,47.97,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Rinteln,2014,12.53,16.24,14.79,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Rostock,2014,17.17,25.47,29.0,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Saarbrucken,2014,12.27,18.97,27.85,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Salzgitter,2014,12.9,19.21,16.02,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Schramberg,2014,11.9,18.89,42.57,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Schwedt/Oder,2014,16.64,20.89,10.42,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Schwerte,2014,13.06,22.23,33.58,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Soest,2014,13.2,17.23,14.22,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Sonnenbuhl,2014,7.26,12.01,6.68,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Spremberg,2014,16.67,20.86,9.76,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Stechlin,2014,13.13,16.97,5.1,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Trier,2014,11.94,20.02,26.5,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Trostberg,2014,12.08,14.48,17.43,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Tubingen,2014,11.17,18.67,40.52,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Ulm,2014,12.4,20.67,42.28,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Warstein,2014,13.87,22.36,12.1,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Weil Am Rhein,2014,10.78,15.18,15.76,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Weimar,2014,15.43,21.27,23.68,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Wermsdorf,2014,12.74,16.69,8.85,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Wesel,2014,15.72,20.18,21.88,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Wiesbaden,2014,14.11,20.42,46.15,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Wilhelmshaven,2014,12.22,18.08,13.13,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Wittenberge,2014,14.97,17.57,10.48,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Worms,2014,15.23,22.36,30.18,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Wuppertal,2014,13.32,22.09,37.74,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Wurzburg,2014,12.19,21.1,40.65,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Zella-Mehlis,2014,12.67,17.52,16.39,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Andechs,2015,8.74,11.96,7.44,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Ansbach,2015,13.02,19.65,33.09,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Augsburg,2015,12.99,20.99,31.46,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Bad Arolsen,2015,11.42,14.38,9.43,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Bad Lauterberg Im Harz,2015,12.79,17.82,19.52,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Bamberg,2015,13.08,18.06,22.77,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Belau,2015,9.87,15.26,9.42,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Berlin,2015,16.86,23.34,30.49,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Bernau Bei Berlin,2015,14.22,21.28,28.23,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Blankenfelde-Mahlow,2015,14.29,19.58,16.02,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Bosel,2015,12.45,21.17,14.13,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Brandenburg An Der Havel,2015,13.53,18.58,18.98,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Braunschweig,2015,12.37,18.1,27.46,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Bremen,2015,11.65,18.71,24.68,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Bremerhaven,2015,10.28,21.28,31.81,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Brunsbuttel,2015,12.23,21.08,22.96,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Buckow (Markische Schweiz),2015,11.95,17.44,9.82,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Burg (Bei Magdeburg),2015,12.13,17.12,13.06,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Burghausen,2015,13.67,18.01,23.03,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Cottbus,2015,14.09,20.86,25.18,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Datteln,2015,14.55,17.41,20.32,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Dornbock,2015,13.07,18.04,8.87,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Dortmund,2015,14.03,22.05,41.11,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Dresden,2015,14.14,22.1,33.14,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Duisburg,2015,14.5,23.76,33.31,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Dusseldorf,2015,12.71,23.31,43.81,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Eberswalde,2015,14.24,20.84,27.4,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Eisenhuttenstadt,2015,15.29,22.22,11.83,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Elsterwerda,2015,13.74,19.19,13.59,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Erfurt,2015,11.1,19.18,30.04,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Essen,2015,14.1,22.47,38.5,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Flensburg,2015,11.79,22.11,33.3,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Frankfurt (Oder),2015,14.46,21.64,25.36,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Frankfurt Am Main,2015,14.66,22.04,41.05,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Freiburg Im Breisgau,2015,11.56,17.69,38.75,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Fulda,2015,15.17,20.16,32.87,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Gehlberg,2015,7.29,10.74,4.54,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Gelsenkirchen,2015,14.49,25.93,37.09,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Giessen,2015,15.08,23.69,44.96,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Gottingen,2015,11.32,19.19,29.06,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Greiz,2015,11.98,17.22,16.84,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Gulzow-Pruzen,2015,12.24,17.67,5.47,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Gustrow,2015,11.57,18.7,9.43,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Halle (Saale),2015,15.4,24.33,33.8,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Hamburg,2015,14.3,20.55,30.23,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Hannover,2015,12.62,20.75,39.13,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Harzgerode,2015,8.68,12.08,4.74,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Heilbronn,2015,15.4,23.83,47.02,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Heppenheim (Bergstrasse),2015,15.11,21.31,35.37,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Ingolstadt,2015,13.64,18.87,27.36,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Itzehoe,2015,12.36,21.51,36.42,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Kaiserslautern,2015,12.89,17.13,22.77,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Karlsruhe,2015,12.8,18.3,34.48,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Kassel,2015,11.95,22.2,32.22,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Kehl,2015,13.18,19.64,26.3,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Kelheim,2015,14.15,19.01,23.27,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Kiel,2015,14.02,21.67,40.74,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Koblenz,2015,13.71,20.67,41.36,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Koln,2015,15.68,21.45,42.21,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Konstanz,2015,12.42,18.1,23.08,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Krefeld,2015,14.23,19.6,34.71,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Leipzig,2015,13.62,22.84,33.07,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Lindau (Bodensee),2015,13.3,17.58,24.49,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Lingen (Ems),2015,12.16,16.78,15.38,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Lubeck,2015,11.21,18.02,26.05,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Luchow,2015,10.49,15.0,11.27,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Luder,2015,10.46,14.51,7.14,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Ludwigshafen Am Rhein,2015,14.25,22.5,35.22,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Magdeburg,2015,12.93,20.64,25.8,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Mainz,2015,13.52,21.02,40.63,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Mannheim,2015,13.96,21.19,37.62,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Marburg,2015,15.0,20.03,35.81,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Merzalben,2015,7.54,11.31,6.8,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Monchengladbach,2015,13.73,20.17,27.06,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Munchen,2015,13.45,21.29,45.74,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Munstertal/Schwarzwald,2015,6.11,9.34,4.23,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Nauen,2015,12.89,18.03,12.4,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Neu-Ulm,2015,13.69,19.56,27.98,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Neuwied,2015,11.59,19.43,25.31,European Environment Agency (downloaded in 2021)
European Region,DEU,Germany,Nurnberg,2015,13.52,26.13,37.9,European Environment Agency (downloaded in 2021)
